x,y,time,u
0.060000,0.080000,0.050000,0.000002
0.080000,0.080000,0.050000,0.000003
0.100000,0.080000,0.050000,0.000005
0.120000,0.080000,0.050000,0.000008
0.140000,0.080000,0.050000,0.000013
0.160000,0.080000,0.050000,0.000020
0.180000,0.080000,0.050000,0.000032
0.200000,0.080000,0.050000,0.000048
0.220000,0.080000,0.050000,0.000070
0.240000,0.080000,0.050000,0.000101
0.260000,0.080000,0.050000,0.000140
0.280000,0.080000,0.050000,0.000191
0.300000,0.080000,0.050000,0.000253
0.320000,0.080000,0.050000,0.000326
0.340000,0.080000,0.050000,0.000410
0.360000,0.080000,0.050000,0.000502
0.380000,0.080000,0.050000,0.000598
0.400000,0.080000,0.050000,0.000693
0.420000,0.080000,0.050000,0.000783
0.440000,0.080000,0.050000,0.000860
0.460000,0.080000,0.050000,0.000920
0.480000,0.080000,0.050000,0.000958
0.500000,0.080000,0.050000,0.000971
0.520000,0.080000,0.050000,0.000958
0.540000,0.080000,0.050000,0.000920
0.560000,0.080000,0.050000,0.000860
0.580000,0.080000,0.050000,0.000783
0.600000,0.080000,0.050000,0.000693
0.620000,0.080000,0.050000,0.000598
0.640000,0.080000,0.050000,0.000502
0.660000,0.080000,0.050000,0.000410
0.680000,0.080000,0.050000,0.000326
0.700000,0.080000,0.050000,0.000253
0.720000,0.080000,0.050000,0.000191
0.740000,0.080000,0.050000,0.000140
0.760000,0.080000,0.050000,0.000101
0.780000,0.080000,0.050000,0.000070
0.800000,0.080000,0.050000,0.000048
0.820000,0.080000,0.050000,0.000032
0.840000,0.080000,0.050000,0.000020
0.860000,0.080000,0.050000,0.000013
0.880000,0.080000,0.050000,0.000008
0.900000,0.080000,0.050000,0.000005
0.920000,0.080000,0.050000,0.000003
0.940000,0.080000,0.050000,0.000001
0.960000,0.080000,0.050000,0.000001
0.980000,0.080000,0.050000,0.000000
0.000000,0.100000,0.050000,0.000000
0.020000,0.100000,0.050000,0.000001
0.040000,0.100000,0.050000,0.000001
0.060000,0.100000,0.050000,0.000003
0.080000,0.100000,0.050000,0.000005
0.100000,0.100000,0.050000,0.000008
0.120000,0.100000,0.050000,0.000014
0.140000,0.100000,0.050000,0.000022
0.160000,0.100000,0.050000,0.000035
